"last_name, first_name","player_id","year","ab","pa","r_total_stolen_base","sprint_speed"
"Freeman, Freddie","518692","2023","637","730","23","26.7"
"McNeil, Jeff","643446","2023","585","648","10","27.4"
"Witt Jr., Bobby","677951","2023","641","694","49","30.5"
"Suwinski, Jack","669261","2023","447","534","13","28.6"
"Bregman, Alex","608324","2023","622","724","3","26.3"
"Hoerner, Nico","663538","2023","619","688","43","28.5"
"Arraez, Luis","650333","2023","574","617","3","26.1"
"Ramirez, Jose","608070","2023","611","691","28","27.8"
"Rooker Jr., Brent","667670","2023","463","526","4","27.1"
"Outman, James","681546","2023","483","567","16","28.9"
"Acuna Jr., Ronald","660670","2023","643","735","73","28.0"
"Semien, Marcus","543760","2023","670","753","14","28.7"
"Kwan, Steven","680757","2023","638","718","21","28.1"
"Grisham, Trent","663757","2023","469","555","15","27.7"
"Jung, Josh","673962","2023","478","515","1","26.8"
"Nootbaar, Lars","663457","2023","426","503","11","27.8"
"Stephenson, Tyler","663886","2023","465","517","0","26.9"
"Davis, J.D.","605204","2023","480","546","1","25.7"
"Muncy, Max","571970","2023","482","579","1","26.9"
"Wade Jr., LaMonte","664774","2023","429","519","2","26.0"
"Harper, Bryce","547180","2023","457","546","11","27.6"
"Chapman, Matt","656305","2023","509","581","4","28.5"
"Burger, Jake","669394","2023","492","540","1","28.0"
"India, Jonathan","663697","2023","454","529","14","27.8"
"Drury, Brandon","592273","2023","485","523","0","27.0"
"Realmuto, J.T.","592663","2023","489","540","16","28.7"
"Raleigh, Cal","663728","2023","513","569","0","27.0"
"McKinstry, Zach","656716","2023","464","518","16","28.5"
"Ohtani, Shohei","660271","2023","497","599","20","27.8"
"Rosario, Eddie","592696","2023","478","516","3","27.9"
"McMahon, Ryan","641857","2023","555","627","5","25.9"
"Garcia, Maikel","672580","2023","464","515","23","28.2"
"Canha, Mark","592192","2023","435","507","11","27.9"
"Cronenworth, Jake","630105","2023","458","522","6","28.3"
"Melendez Jr., MJ","669004","2023","533","602","6","27.6"
"Soler, Jorge","624585","2023","504","580","1","26.6"
"Vierling, Matt","663837","2023","479","530","6","29.1"
"Diaz, Elias","553869","2023","486","526","1","25.0"
"Schwarber, Kyle","656941","2023","585","720","0","25.0"
"Anderson, Tim","641313","2023","493","524","13","27.2"
"LeMahieu, DJ","518934","2023","497","562","2","25.6"
"Profar, Jurickson","595777","2023","459","521","1","25.6"
"Hernandez, Enrique","571771","2023","465","508","4","26.9"
"Renfroe, Hunter","592669","2023","498","548","0","26.8"
"Robert Jr., Luis","673357","2023","546","595","20","28.7"
"Straw, Myles","664702","2023","462","518","20","29.2"
"Estrada, Thairo","642731","2023","495","530","23","28.0"
"Volpe, Anthony","683011","2023","541","601","24","28.4"
"Candelario, Jeimer","600869","2023","505","576","8","27.5"
"Hays, Austin","669720","2023","520","566","5","27.5"
"Correa, Carlos","621043","2023","514","580","0","26.6"
"Garcia, Adolis","666969","2023","555","632","9","27.3"
"Smith, Will","669257","2023","464","554","3","27.2"
"Baez, Javier","595879","2023","510","547","12","28.1"
"Arcia, Orlando","606115","2023","488","533","1","25.9"
"Paredes, Isaac","670623","2023","492","571","1","26.1"
"Suzuki, Seiya","673548","2023","515","583","6","28.5"
"Hayes, Ke'Bryan","663647","2023","494","525","10","27.1"
"Adames, Willy","642715","2023","553","638","5","27.6"
"Suarez, Eugenio","553993","2023","598","694","2","26.4"
"Seager, Corey","608369","2023","477","536","2","26.2"
"Varsho, Daulton","662139","2023","527","581","16","28.1"
"Ozuna, Marcell","542303","2023","530","592","0","26.4"
